Fund,Fund Name,Cash,Department Name,Fund Purpose,Sources of Funds,Eligible Uses,Fund Category,Ending Fund Balance,Assets,Liabilities,Grant Receivable Asset,Other Assets,Current Collected Revenue,Cash Disbursement,Outstanding Commitment,Date Fund Established,Fund Group Name,Fund Type Name,Council File Link 1,Fund Origin Council File # 1,Department,Fund Origin Ordinance #,Amending Ordinances,Code Section,Fund Origin Resolution,Amending Resolution,Currently on Budget,Replacement of GF Allowed,Any Overhead Costs Remitted to GF,Overhead Costs Reimbursement Eligibility,Interest to GF,Interest Reversion Eligibility,GF Reversion,Inactive Fund - Close,Contact,Phone,Email
458,LOW INCOME HOUSING TAX CREDIT,,Housing and Community Investment Department,To be used to assist any low income rental city housing program,All fee income received by the City for the review and processing of application for low income housing tax credits,"Processing of private party applications, provide incentives for the construction, acquisition, and rehabilitation of multi-family rental housing for low income households",Community Development,$0.00,,,,,,,$0.00,09/29/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=87-1635,87-1635,43,Not Applicable,Not Applicable,22.471.1,,,No,No,No,No,Yes,Not Applicable,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
519,PEOPLE WHO CARE YOUTH CEN JJDP,,Mayor,For the Boys and Girls Club of Venice under the Juvenile Justice and Delinquency Prevention Program,CA Office of Criminal Justice Planning Grant,"Establishment of emergency shelters, administrative costs, funding for the Homeless Assistance Program and other related actions",Community Development,$0.00,,,,,,,,06/30/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=90-1849,90-1849,46,,,,,,No,No,No,Yes,Yes,Not Applicable,No,No?,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
54K,HEALTHY HOMES 1,,Housing and Community Investment Department,Record receipts and disbursements of the federal HUD Healthy Homes Production Program Grant.,US Department of Housing and Urban Development Healthy Homes Production Program Grant.,For expenditures in accordance with the provisions of the US Department of Housing and Urban Development Office of Healthy Homes and Lead Hazard Control and United States Conference of Mayors,Community Development,$0.00,,,,,,,,05/16/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-1140-S4,10-1140-S4,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54H,FY10 RCPGP GRANT FUND,,Mayor,Record funds for Homeland Security FY2010 Regional Catastrophic Preparedness Grant Program,US Department of Homeland Security Fiscal Year 2010 Regional Catastrophic Preparedness Grant Program award from the California Management Agency.,"Funds positions in Emergency Management, Fire, Housing, and Police Departments relating to grant implementation",Law Enforcement,$0.00,,,,,,,,12/06/2011,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-1954,10-1954,46,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
54S,LEAD GRANT 10,,Housing and Community Investment Department,Track funds from the US Department of Housing and Urban Development's Lead Hazard Reduction Grant,US Department of Housing and Urban Development's Lead Hazard Reduction Demonstration Grant,For costs associated with HUD's Lead Hazard Reduction Demonstration Program,Community Development,$0.00,,,,,,,,09/13/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-1140-S5,11-1140-S5,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
49E,LEAD GRANT FUNDS,,Housing and Community Investment Department,To implement L.A. Housing Department's lead abatement programs,"Receipt and disbursement of HUD Lead Gran award for Lead Grant V, VI Lead Outreach Grant II and any future Lead Grant awards.","Lead Outreach II used to provide education & outreach service to low-income tenants & homeowners; lead Grant V, VI   used to remediate lead hazards from selected housing units & conduct outreach  & educational activities in highest risk areas.",Community Development,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,06/26/2006,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=05-1007-S2,05-1007-S2,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,Yes,Not Applicable,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
576,MCKINNEY HOMELESS VETERAN REIN,,Disability,To provide employment counseling and both classroom and on-the-job training for homeless veterans.,U.S. Dept. of Labor Grants,"Salaries, office and administrative expenses, travel, support services, contract expenses",Community Development,$0.00,,,,,,,,01/14/1994,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-1469,97-1469,65,171996,,,,,No,No,No,,No,,No,Yes,Tony Abraham,(213) 202-2746,tony.abraham@lacity.org
55H,FY11 RCPGP GRANT FUND,,Mayor,Record funds for Homeland Security FY2011 Regional Catastrophic Preparedness Grant Program,US Department of Homeland Security Fiscal Year 2011 Regional Catastrophic Preparedness Grant Program award from the California Management Agency.,"Funds positions in Emergency Management, Fire, Housing, and Police Departments relating to grant implementation",Law Enforcement,$0.00,,,,,,,,10/23/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-1252,12-1252,46,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
54X,LAHD - GAS CO. - CPUC,,Housing and Community Investment Department,Track funds for a grant from the Gas Company to cover costs for a federal energy efficiency grant,Southern California Gas Company Grant,For continued funding for the Department of Housing's administration costs of federal Energy and Efficiency Conservation Block Grant by the Southern California Gas Company,Community Development,$0.00,,,,,,,,10/23/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-0520-S1,12-0520-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
51P,ARRA-HOMELESSNESS PREV & REHSE,,Housing and Community Investment Department,To implement the Homelessness Prevention and Rapid Re-Housing Program,U.S. Dept. of Housing and Urban Development Grant,"Grantees may use the grant for activities relating to the prevention of homelessness and rapid re-housing for homeless individuals and families, including:1) financial assistance, such as short-term and medium-term rental assistance, security and utility deposits, and utility assistance; 2) housing relocation and stabilization services including housing search, mediation, credit repair, moving cost assistance, and case management, 3) Homeless Management Information System(HMIS)costs, and 4) Administrative costs, not to exceed five percent of the grant.",Community Development,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,09/21/2009,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=09-0846,09-0846,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
53Q,LEAD GRANT NINE,,Housing and Community Investment Department,Track federal Housing and Urban Development grant funds for Lead Hazard Reduction,US Department of Housing and Urban Development Lead Hazard Reduction Demonstration Grant,"To remediate lead hazard, according to the terms of the grant agreement",Community Development,$0.00,,,,,,,$0.00,04/25/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-1140-S1,10-1140-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54E,LANCER SITE RECREATIONAL IMPROVEMENTS TRUST FUND,,Recreation and Parks,Record receipts & disbursements from City's Cash pledge Agreement with Libaw-Horowitz Investment,Cash pledge Agreement between COLA and Libaw-Horowitz Investment Company,"To create or make improvements to recreation and park facilities at the Pueblo del Rio housing project and/or for recreational programming at facilities in the vicinity of the former Lancer property at 41st and Alameda street including, but not limited to, the Fred Roberts Park and Ross Snyder Park",Other Capital Projects,$0.00,,,,,,,,11/15/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-1524,11-1524,88,181949,,LAAC Section 5.88,,,No,No,Yes,Yes,No,No,No,No,Noel Williams,(213) 202-4358,noel.williams@lacity.org
53E,FY09 RCPGP GRANT FUND,,Mayor,Tracks CalEMA grant funds to strengthen regional catastrophic preparedness programs,FY2009 Homeland Security Regional Catastrophic Preparedness Grant Program from the California Emergency Management Agency,"For the development of a comprehensive regional reception plan; establishment of a collaborative Regional Disaster Housing Process, creation of a Distribution Plan template, and review of existing emergency plans and a best practices seminar for regional training",Law Enforcement,$0.00,$0.00,$0.00,$0.00,$0.00,,,,01/04/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=08-0879-S1,08-0879-S1,46,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,Yes,Not Applicable,No,Yes,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
42J,SENIOR HUMAN SERVICES PROGRAM,$1852999.50,Aging,To fund the senior services program,CDBG Grant,"Aging's Evidence Base Programs, Emergency Alert Response System, and Alternative Housing for seniors.",Social Services,$1852999.50,$1852999.50,$0.00,,$0.00,$231083.40,$260807.58,$1339582.39,03/07/1999,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0126,99-0126,2,,,,,,No,No,Yes,Yes,No,No,No,No,James Don,(213) 202-5612,james.don@lacity.org
52P,ARRA-EECBG FUND - LAHD,,Housing and Community Investment Department,Funding to perform energy efficient retrofits of multifamily affordable housing,Energy Efficiency and Conservation Block Grant Funds (EECBG),"Funds to be expended in a competitive, performance based bid process for rehabilitation projects",Community Development,$0.00,,,,,,,$0.00,06/18/2010,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=09-0648-S15,09-0648-S15,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
611,CDBG EARTHQUAKE TRUST FUND,,Housing and Community Investment Department,To track funds for a HUD grant for Northridge Earthquake housing repairs and recovery projects,US Department of Housing and Urban Development (HUD) Community Development Block Grant emergency supplemental funds,"Earthquake recovery housing costs, especially costs of repair for damaged or abandoned multifamily and condominium projects in the City",Community Development,$0.00,,$0.00,,,,,,06/27/1995,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=94-0082-S80,94-0082-S80,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,Yes,Not Applicable,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
50T,NEIGHBORHOOD STABILIZATION PG,$1992350.78,Housing and Community Investment Department,Implementation of the City's Neighborhood Stabilization Program,U.S. Dept. of Housing and Urban Development Grant,"Used to acquire and rehabilitate foreclosed single family and multi-family properties for affordable homeownership and rental housing opportunities.  The implementation strategy will feature private and public partnerships, including the participation of Enterprise community Partners, a national affordable housing and community development nonprofit organization which has worked with the City for 10 years on similar programs.  The LAHD will also work with its longtime homebuyer partners - mortgage lenders, homebuyer educators and the real estate industry .",Community Development,$1992296.92,$2781376.19,$789079.27,$789025.41,$0.00,$127043.73,$58441.06,$352910.59,03/09/2009,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=07-2438-S8,07-2438-S8,43,Not Applicable,Not Applicable,Not Applicable,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
561,HOME INVESTMENT PARTSHIP PROGR,$10211492.32,Housing and Community Investment Department,To track monies arising from HUD's HOME program for low income housing,"US Department of Housing and Urban Development (HUD) grant for the Rental Rehabilitation Program, and associated loans, fees or penalties","Development and new construction hard costs, acquisition  costs, related soft costs,  rehabilitation costs, refinancing costs, community housing development organization costs, relocation costs, and costs relating to payment of loans",Community Development,$8860896.00,$60394873.91,$51533977.91,$50183381.59,$0.00,$14118986.23,$7986637.47,$19975310.63,01/14/2014,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=93-0069,93-0069,43,168726,Not Applicable,5.432,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
44G,CITY OF LA AFFORDABLE HOUSING,$37774641.21,Housing and Community Investment Department,For development and preservation of affordable housing,"One-time Council Appropriation, gifts, contributions and interest earnings","Exclusively for housing needs of the City including predevelopment activities, acquisition, development, new construction, rehabilitation and restoration",Community Development,$36761000.71,$57122938.41,$20361937.70,$184355.06,$19163942.14,$1576321.53,$1108125.58,$3653519.80,05/31/2000,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1753,99-1753,43,173346,Not Applicable,5.522,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
587,SECTION 108 LOAN GUARANTEE PRO,$217.89,Housing and Community Investment Department,To stimulate economic and housing development in impacted areas after the civil unrest.,Loan Guarantee from U.S. Dept of Housing and Urban Development,"Loans to business, purchase, rehab, construction, site improvement/ clearance/demo/relocate, capitalization of Section108 interest cost, micro-enterprise development/ lending related to housing and other physical and economic development under the CDBG program.",Community Development,$217.89,$217.89,$0.00,$0.00,$0.00,$0.70,,,06/30/1997,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=94-2167,94-2167,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54L,STATE HCD-IIG PROGRAM,$67214.78,Housing and Community Investment Department,Record receipts and disbursements for the State's Infill Infrastructure Grant Program.,State Housing and Community Development Infill Infrastructure Grant.,To fund commitments to 7 projects selected through Round 1 of the 2012 Affordable Housing Trust Fund Notice of Funding Availability,Community Development,$67214.78,$82204.78,$14990.00,$14990.00,$0.00,$401.97,,$6.67,03/20/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-1920,11-1920,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
55S,CRENSHAW / MID-CITY CORRIDORS PROP 1C-CRA,$604.82,Economic Development Department,Tracks Prop 1C grant funds for affordable housing in the Crenshaw/Mid-City Corridors,Crenshaw/Mid-City Corridors Prop 1C Infill Infrastructure Grant,To support affordable housing projects in the Crenshaw/Mid-City corridors that are in the process of construction and to provide infrastructure improvements near those projects.,Community Development,$604.82,$10364367.47,$10363762.65,$10363762.65,$0.00,$803686.64,$1020440.80,$10363752.65,08/21/2013,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=13-0303,13-0303,22,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
562,RENTAL REHAB PROGRAM FUND,$41303.07,Housing and Community Investment Department,To track monies arising from HUD's Rental Rehabilitation Program for low income housing,"US Department of Housing and Urban Development (HUD) grant for the HOME, and associated loans, fees or penalties","Direct costs, indirect costs for subcontractors, and administrative overhead. Unused funds must returned to HUD.",Community Development,$31199.45,$41303.07,$10103.62,,$0.00,$99.96,,,01/02/2014,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=93-0069,93-0069,43,Not Applicable,169067,5.431,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
57R,LEAD GRANT 11,$39664.68,Housing and Community Investment Department,Track funds from the US Department of Housing and Urban Development's Lead Hazard Reduction Grant,US Department of Housing and Urban Development's Lead Hazard Reduction Demonstration Grant,For costs associated with HUD's Lead Hazard Reduction Demonstration Program,Community Development,$39664.68,$541477.94,$501813.26,$501813.26,$0.00,$504710.95,$284852.96,$264012.33,06/18/2015,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-1288,14-1288,43,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
815,MUNICIPAL HOUSING FINANCE FUND,$5637275.94,Housing and Community Investment Department,For the administration of the of Housing Bond Financing Program,Monies derived from the sale of revenue bonds for multi-family residential housing developments.,"For acquiring, developing, constructing and rehabilitating of single family and multi-family residential housing developments; making loans for the financing or refinancing of the acquisition",Community Development,$2829966.23,$5637275.94,$2807309.71,,$0.00,$1779867.10,$1582133.42,$167188.00,09/27/1982,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=173302,173302,43,157276,Not Applicable,5.120.5,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
46Y,CITY PLANNING GRANTS TRUST FD,$433369.61,City Planning and Development,For development of an infill housing methodology and various land use planning activities,CA Dept. of Transportation and other grants,Grants will be disbursed in compliance with the provisions of each grant program approved.,Community Development,$433369.61,$5340380.78,$4907011.17,$4907011.17,$0.00,$337452.07,$337663.55,$133307.76,04/09/2003,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-0257-S2,00-0257-S2,68,175169,Not Applicable,Sec.5.470,,,No,No,Yes,Yes,No,No,No,No,Livea Yeh,(213) 978-1268,livea.yeh@lacity.org
55D,PROPOSITION 1C TRANSIT ORIENTED DEVELOPMENT (TOD),$1770.27,Housing and Community Investment Department,To track housing proceeds from state HCD Department to supplement MacArthur Park Phase A Project,"Proposition 1C Transit Oriented Development, from State of California Department of Housing and Community Development, and HOME Investment Partnership Program Funds",To close a budget shortfall for the MacArthur Park Phase A project,Community Development,$1770.27,$334329.27,$332559.00,$332559.00,$0.00,$4.68,,$1574128.00,12/12/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-1555-S1,12-1555-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54D,STATE HCD - DRI PROGRAM FUND,$36927.24,Housing and Community Investment Department,To track State Housing and Community development recovery funds for the 2008 Sayre Wildfire,Disaster Recovery Initiative Program from the California Department of Housing and Community Development,For disaster victims of the 2008 Sayre wildfire and for disaster planning efforts and recovery actions,Community Development,$36927.24,$36927.24,,,$0.00,$11670.00,,,12/29/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-0653,11-0653,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
10D,ACCESSIBLE HOUSING FUND,$4507983.12,Housing and Community Investment Department,To track receipts and disbursements related to the implementation of Accessible Housing Program to carry out the requirements of Settlement Agreement of US District Court Case CV12-0551.,City General Purpose Funds,For disbursements related to US District Court Case No. CV 12-0551,,$4507983.12,$4507983.12,$0.00,,$0.00,$3684741.73,$533043.81,$586319.72,01/17/2017,Governmental,General Fund,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-1389,16-1389,43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Not Applicable,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
517,FEDERAL EMERGENCY SHELTER GRNT,$213383.73,Housing and Community Investment Department,To provide homeless persons with basic shelter and essential supportive services,U.S. Dept of Housing and Urban Development,"For the payment of certain operating, maintenance and social services expenses in connection with emergency shelters.",Community Development,$176238.57,$5010978.31,$4834739.74,$4797594.58,$0.00,$889317.99,$887307.68,$850987.62,06/30/1987,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=87-0095-S14,87-0095-S14,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
240,HOUSING PRODUCTION REVOLVING,$9866569.54,Housing and Community Investment Department,Used for housing rehabilitation and community development for low and moderate income occupancy,Bunker Hill Trust Fund in exchange for Jobs Bill funds to CDD; subsequently all funds were from program income of the housing projects and interest earned from cash balance.,Exclusively for the development of low and moderate income rental housing.,Community Development,$9355596.21,$9866569.54,$510973.33,,$0.00,$1036499.10,$206342.86,$443674.00,08/21/1984,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=84-1010,84-1010,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
307,RENTAL HOUSING PRODUCTION,$1359166.56,Housing and Community Investment Department,For the development of low and moderate income rental  housing.,"Grants, loans, fees, penalties and disbursements",Exclusively for the development of low and moderate income rental housing.,Community Development,$1359166.56,$1359166.56,,,$0.00,$34786.18,,$0.00,11/10/1979,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1753,99-1753,43,173346,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
431,CETA TRUST,$369.80,Economic Development Department,"Supplement job training, provide emergency housing assistance for homeless job training participants",Federal Dept. of Labor,For job training programs,Community Development,$369.80,$27531.15,$27161.35,,$27161.35,$0.74,,,06/30/1987,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=87-1198-S2,87-1198-S2,22,,,,,,No,No,Yes,Yes,Yes,Not Applicable,No,Yes,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
643,MORTGAGE CREDIT CERTIFICAT FEE,$237854.88,Housing and Community Investment Department,"To track funds for the Mortgage Credit Certificate program, and other low-income housing programs",Fees from processing of application for mortgage credit certificate,Approved operating costs of the Mortgage Credit Certification Program and other moderate-income and low-income housing activities and programs,Community Development,$237854.88,$237854.88,,,$0.00,$5875.00,,,03/23/1994,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=94-0297,94-0297,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,Yes,Not Applicable,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
55J,LOW AND MODERATE INCOME HOUSING FUND,$44456301.55,Housing and Community Investment Department,Record funds for transition of housing assets of CRA/LA to the LAHD,The Los Angeles Community Redevelopment Agency,For personnel and related costs to manage the transition of former CRA/LA assets and functions to the Housing Department.,Community Development,$42418661.10,$44456301.55,$2037640.45,,$0.00,$2245786.78,$1699223.23,$2939156.29,02/06/2013,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-0049,12-0049,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
47X,HUD CONNECTIONS GRANT,$669.12,Housing and Community Investment Department,"To conduct an 18-month study on the connection of housing and HIV, and related actions",U.S. Dept. of Housing and Urban Development grant,Approved operating costs.,Community Development,$128.03,$1559986.16,$1559858.13,$1559317.04,$0.00,$17706.78,$17163.64,$1475724.21,09/10/2004,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-0846-S1,02-0846-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
911,CHANNEL GATEWAY/VENICE AFFORD,$451339.91,Housing and Community Investment Department,"To provide affordable housing, and for beach shuttle program in Channel Gateway/Venice",Developer contribution for affordable housing,"For offsite street beautification, implementation of traffic mitigation measures, lighting & landscaping improvement in the Venice area.",Community Development,$451339.91,$451339.91,,,$0.00,$1096.01,,,05/07/2000,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-0840,00-0840,43,173329,Not Applicable,5.519,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
