X	Y	OBJECTID	source	ext_id	cat1	cat2	cat3	org_name	Name	addrln1	addrln2	city	state	hours	phones	email	url	info1	info2	post_id	description	zip	link	use_type	latitude	longitude	date_updated	dis_status	POINT_X	POINT_Y
-118.2431521	34.04521897	97626377	211		Social Services	Homeless Shelters and Services			Special Service For Groups -  Project 180	420 S. San Pedro		Los Angeles	CA	"SITE HOURS:  Monday through Friday, 8:30am to 4:30pm. "	"FAX (213) 621-4155,  Service/Intake (213) 620-5712"		ssgmain.org/			772	"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County."	90013	http://egis3.lacounty.gov/lms/?p=772	publish	34.045219	-118.243152	2013-06-01T11:50:56.000Z		6488010.523	1838925.547
-118.0011961	34.14558097	97626412	211		Social Services	Homeless Shelters and Services			Santa Anita Family Service	605 S. Myrtle Ave.		Monrovia	CA		"Service/Intake and Administration (626) 359-9358,  FAX (626) 358-7647"		www.santaanitafamilyservice.org			794	"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults."	91016	http://egis3.lacounty.gov/lms/?p=794	publish	34.145581	-118.001196	2013-06-01T11:50:56.000Z		6561308.448	1875360.083
-118.0975894	34.10246351	97626417	211		Social Services	Homeless Shelters and Services			Santa Anita Family Service - San Gabriel	206 E Las  Tunas Dr		San Gabriel	CA		"Service/Intake (626) 308-1414,  FAX (626) 308-1818"		www.santaanitafamilyservice.org			795	"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults."	91776	http://egis3.lacounty.gov/lms/?p=795	publish	34.10246354	-118.0975893	2013-06-01T11:50:56.000Z		6532127.092	1859683.18
-118.3214731	34.10182297	97626692	211		Social Services	Homeless Shelters and Services			Children's Hosptial Los Angeles - High Risk Youth Program - Saban Free Clinic	6043 Hollywood Blvd.		Los Angeles	CA	"Tuesday, 1:00pm to 5:00pm and Thursday, 2:00pm to 5:00pm. "	"Appointments Service/Intake (323) 653-1990, Saban Free Clinic Admin. Administrative (323) 462-8632, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775"		www.childrenshospitalla.org/site/c.ipINKTOAJsG/b.4452451/			946	The agency provides health services and homeless support services for youth age 12 to 24 in the Hollywood area.	90028	http://egis3.lacounty.gov/lms/?p=946	publish	34.101823	-118.321473	2013-06-01T11:50:56.000Z		6464350.123	1859591.356
-118.298445	34.09787918	97626698	211		Social Services	Homeless Shelters and Services			Children's Hosptial Los Angeles - High Risk Youth Program	5000 W Sunset Blvd	4th Fl.	Los Angeles	CA	"Monday through Friday, 8:30am to 5:00pm.  Clinic hours Tuesday and Thursday, 1:00pm to 5:30pm. "	"Administrative (323) 361-2390, Appointments Service/Intake (323) 653-1990, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775"		www.childrenshospitalla.org/site/c.ipINKTOAJsG/b.4452451/			947	The agency provides health services and homeless support services for youth age 12 to 24 in the Hollywood area.	90027	http://egis3.lacounty.gov/lms/?p=947	publish	34.09787921	-118.2984449	2013-06-01T11:50:56.000Z		6471317.186	1858134.646
-118.3237937	34.05281501	97626854	211		Social Services	Homeless Shelters and Services			Center For The Pacific Asian Family Inc	1102 Crenshaw Blvd		Los Angeles	CA		"Hotline-24 Hour Service/Intake and Hotline (323) 966-4590, Hotline-24 Hours Service/Intake and Hotline (323) 653-4042,  Administrative (323) 653-4045,  FAX (323) 653-7913, Hotline-24 Hour Service/Intake and Hotline (800) 339-3940"		www.nurturingchange.org			1073	"The center provides child abuse services, domestic violence services, shelter, sexual assault services, volunteer opportunities, and welfare-to-work support services."	90019	http://egis3.lacounty.gov/lms/?p=1073	publish	34.05281504	-118.3237936	2013-06-01T11:50:56.000Z		6463590.154	1841758.772
-118.138432	34.69788338	97627056	211		Social Services	Homeless Shelters and Services		www.catalystfdn.org	"Catalyst Foundation , The"	540 W Lancaster Blvd		Lancaster	CA	"Monday through Thursday, 8:00am to 5:00pm; Friday, 8:00am to 12:00pm. "	"Service/Intake and Administration (661) 949-7378,  FAX (661) 942-0022,  Service/Intake and Administration (661) 948-8559"		www.catalystfdn.org			1283	The foundation provides emergency food and HIV/AIDS services for Antelope Valley residents.	93534	http://egis3.lacounty.gov/lms/?p=1283	publish	34.69788341	-118.1384319	2013-06-01T11:50:56.000Z		6520061.216	2076383.689
-118.4370661	34.14913797	97627164	211		Social Services	Homeless Shelters and Services			Jewish Family Service Of Los Angeles - Family Violence Project	13949 Ventura Blvd.		Sherman Oaks	CA		"Administrative (818) 789-1293, 24 Hr. Hotline and Main Intake Service/Intake and Hotline (818) 505-0900, 24 Hour Service/Intake and Hotline (310) 858-9344,  FAX (818) 789-7581"		www.jfsla.org			1353	"The project provides domestic violence services, shelter and welfare-to-work support services for victims of domestic violence."	91423	http://egis3.lacounty.gov/lms/?p=1353	publish	34.149138	-118.437066	2013-06-01T11:50:56.000Z		6429431.468	1876942.031
-118.3062591	34.18124297	97627189	211		Social Services	Homeless Shelters and Services		www.salvationarmy-socal.org	Salvation Army Corps Community Center - Burbank	300 E. Angeleno		Burbank	CA		"FAX (818) 845-7274,  Service/Intake (818) 845-7214"		www.salvationarmy-socal.org			1360	"This agency provides counseling services, emergency food, holiday assistance, recreational programs and utility bill assistance for families, couples, and individuals who live in Burbank, North Hollywood, Sun Valley, Sunland and Tujunga."	91502	http://egis3.lacounty.gov/lms/?p=1360	publish	34.181243	-118.306259	2013-06-01T11:50:56.000Z		6469043.934	1888479.236
-118.0295641	34.08551997	97627200	211		Social Services	Homeless Shelters and Services		www.oursaviourcenter.org	Our Saviour Center	4368 Santa Anita Ave.		El Monte	CA	"Monday through Friday, 9:00am to 5:00pm. "	"FAX (626) 579-2689, Family Planning Service/Intake (626) 579-0290 Ext.100, Administration Service/Intake (626) 579-2190 Ext.116, Shelter Service/Intake (626) 579-0290 Ext.127, Clinic Service/Intake (626) 579-2190 Ext.100,  Service/Intake (626) 579-0290, Y"		www.oursaviourcenter.org			1364	"This center provides, emergency food, family planning, health services, recreational programs, and shelter for low-income people who live in El Monte and South El Monte."	91731	http://egis3.lacounty.gov/lms/?p=1364	publish	34.08552	-118.029564	2013-06-01T11:50:56.000Z		6552718.595	1853504.083
