"","shelters.NAME","shelters.LONGITUDE","shelters.LATITUDE","shelters.CITY","shelters.ORG_NAME","shelters.ADDRLN1","shelters.PHONES","advocacy","child_care","HIV.AIDS","holiday_assistance","interpreter","personal_goods","non_profit_organization","substance_abuse","youth_services","counseling_services","domestic_violence","health_services","shelter","food_supply","recreational_services","Welfare_to_work","Adults.Education","financial_assistance","transportation"
"1","Special Service For Groups -  Project 180",-118.243152056549,34.0452189665425,"Los Angeles","","420 S. San Pedro","FAX (213) 621-4155,  Service/Intake (213) 620-5712",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"2","Los Angeles Centers For Alcohol And Drug Abuse - Homeless Outreach Project",-118.240389055951,34.0440489670981,"Los Angeles","","612 E. 4th St.","Service/Intake (213) 626-6411",0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"3","Society Of St. Vincent De Paul - Social Services Department",-118.246126056682,34.0460059666432,"Los Angeles","www.svdpla.org","231 Winston St.","FAX (213) 620-9141,  Service/Intake and Administration (213) 229-9971",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4","Year Round Shelter - Sro Housing",-118.244768056659,34.0446559671678,"Los Angeles","www.lahsa.org","403 E. 5th St.","Service/Intake and Administration (213) 229-9678",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"5","Downtown Women's Center",-118.243403256713,34.0446435270431,"Los Angeles","www.dwcweb.org","442 S San Pedro St","Administration (213) 680-0600,  Service/Intake (213) 213-6130,  FAX (213) 680-0844",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"6","Los Angeles Mission",-118.245426056365,34.0448959665904,"Los Angeles","www.losangelesmission.org","303 E. 5th St.","Volunteers Service/Intake (213) 629-1227 Ext.301, Urban Training Institute Service/Intake (213) 629-1227 Ext.387,  Service/Intake and Administration (213) 629-1227, Volunteers Service/Intake (213) 629-1227 Ext.417,  Service/Intake (213) 893-1960,  FAX (21",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"7","Fred Jordan Mission",-118.241895056855,34.0433389665889,"Los Angeles","www.fjm.org","445 Towne Ave.","FAX (626) 332-8759,  Service/Intake and Administration (626) 915-1981,  Service/Intake (213) 489-7763",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
"8","Anne Douglas Center Of The Los Angeles Mission",-118.244974055893,34.0453729669325,"Los Angeles","www.losangelesmission.org","310 Winston St.","LA Mission Main Desk Service/Intake (213) 629-1227,  Service/Intake and Administration (213) 614-0743",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"9","Santa Anita Family Service",-118.001196056865,34.1455809672887,"Monrovia","","605 S. Myrtle Ave.","Service/Intake and Administration (626) 359-9358,  FAX (626) 358-7647",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"10","Santa Anita Family Service - San Gabriel",-118.097589357113,34.1024635070498,"San Gabriel","","206 E Las  Tunas Dr","Service/Intake (626) 308-1414,  FAX (626) 308-1818",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
